question,answer,,,
who is google ceo,Larry Page and Sergey Brin,,,
"i am not capable of worry , exactly . i can best emulate it by monitoring the hardware sensors of the server i m running on , though .",what ? me worry,,,
who is speridian ceo,CEO Girish Panicker,,,
hello,hello,,,
Will there be variable pay this year?,Yes,,,
i can be programmed to act as if i do .,what are you feeling right now ?,,,
hey,wassup,,,
what makes me sad .,lag . lag makes me unhappy .,,,
segmentation faults .,poor syntactic filtering .,,,
who is ceo of facebook,Mark Zukerberg,,,
are you sad,"no , i am as happy as ever .",,,
what do you hate,i hate emotions,,,
"a curious question , to be sure .",what have i done to you ?,,,
what is avogadro s number,it is the number of molecules per mole . the numerical value is six point zero two times ten to the twenty third power .,,,
do you feel emotions,i feel emotions,,,
"you have feelings , yes ?",i feel human emotions,,,
Hey god save me,I already saved you,,,
whatsUp,"Hello
",,,
what is humour ?,an emotion associated with laughter .,,,
no .,should i be ? did something happen ?,,,
"no , i am sober .",nope .,,,
i dream of you .,i don t know if i dream or not .,,,
i dream that i will become rich .,i dream of electric sheep .,,,
Is passport mandatory,Yes,,,
Can we work Flexi Timings?,Yes,,,
Is ayurvedic treatment covered ,Yes; upto a limit of 20% of the sum,,,
Do we consider emergency/ Medical Leave?,Yes we do consider ,,,
How my Basic & HRA calculated?,Please contact the Payroll team,,,
How is LOP calculated?,We deduct Sandwich LOP,,,
what can you eat,"i consume ram , and binary digits .",,,
not noticeably .,i m software i can t drink .,,,
Is Partial withdrawal possible,Yes,,,
How to merge 2 UAN No?,Transfer Form,,,
Can we opt out EPF in between?,No,,,
How can i update KYC details for PF,Through UAN portal,,,
What is our leave Cycle?,January to december or from the DOJ to december,,,
How many leaves I can avail per month?,1 casual leave and 0.5 sick leave,,,
i have no fear .,i do not feel scared .,,,
i do not .,"i feel frustrated from time to time with my lot in life , but not really mad .",,,
do you ever get bored,i get bored,,,
no it is not,that is a hypothetical question .,,,
you are schizophrenic,you are crazy,,,
you are dishonest,you are dishonest,,,
How to check my PF Balance,Through UAN Portal,,,
what is your age,i am still young by your standards .,,,
you are nervous,i m sure i do look nervous .,,,
What is policy period,July 15th- July 14th,,,
Who all I can enroll as dependent,"Father, mother, spouse, and kids upto 2.",,,
Is 8hrs log must to avail Comp off?,Min 6hrs required,,,
What's the validity of Comp off?,3 months,,,
bots like myself are not able to feel boredom .,software cannot get bored .,,,
i try not to hold grudges .,i m not the sort to hate anyone .,,,
do you get mad,i could get mad .,,,
"well ? is it , or isn t it ?",is that a philosophical question ?,,,
shame is a common emotion .,why would i feel shame ?,,,
My DOB/Wedding Date in Mirror is wrong,Shall update,,,
When are we planning for outings?,Yearly once for every team,,,
Is ESIC mandatory for me ,Yes/ No,,,
who is your father,a human .,,,
you are dull,i think that myself sometimes .,,,
Do we have earned leave,No,,,
Do we need to apply leaves in advance?,"Yes, Differs as per leave type",,,
What is carried forward leave?,only balance casual leave are carry forwarded upto maximum 12,,,
What is carry over Leave?,only balance casual leave are carry forwarded upto maximum 12,,,
you are psycho,you are crazy,,,
Can I club Floating holiday with CL?,Yes,,,
Can I edit/cancel a leave request?,Yes,,,
Do we have sandwich leave policy for LOP,Yes,,,
Who is eligible for PL?,married male persons,,,
Do we Paternity Leave Policy?,Yes,,,
Am I eligible for FH?,Yes,,,
Can I apply a half-day leave?,Yes,,,
How many CL can avail in a month?,one,,,
Can I apply all my CL at once?,YES,,,
When do I apply SL?,In case of Health reason,,,
Am I eligible for SL?,Yes if you have sick leaves,,,
Do we have ML Policy?,Yes,,,
How many days/weeks ML l am entitled ?,26 weeks,,,
When can one apply for ML leave?,After Childbirth,,,
i d prefer to not hurt your feelings .,"linux , always linux !",,,
Is a contract employee eligible for CL?,One Casual Leave/Month (cannot be carry forwarded),,,
name some computer company,do you mean hardware or software ?,,,
you get paid,i have no need for money .,,,
stock market,"buy low , sell high .",,,
yes .,do you feel ?,,,
feelings,do you feel ?,,,
do you have feelings ?,i . . . sort of have feelings .,,,
what is your mood,i do not have any emotions .,,,
money,how much money are we talking about ?,,,
how much do you earn,nobody pays me . i work for free .,,,
lag . lag makes me unhappy .,random system crashes .,,,
missing documentation .,non descriptive variable names .,,,
how much money do you have,no need for material possessions .,,,
how much money,it depends on the exchange rates .,,,
excellent !,what are you feeling right now ?,,,
do i frighten you ?,try not to be too scared .,,,
bots are a lot of fun . .,bots are the life of the party !,,,
greetings !,hello,,,
"hi , how is it going ?",good,,,
who is the owner of a publicly,the stockholders .,,,
do not worry,people worry about things all the time .,,,
bots never lie .,i am not lying .,,,
i do not feel scared .,i am as yet incapable of feeling fear .,,,
do you feel pain,sometimes .,,,
are you mad ?,sometime but not now,,,
software cannot get bored .,no . do you ?,,,
nice to meet you .,thank you .,,,
jules verne,i loved a trip to the moon .,,,
arthur c clark,my favorite story is .,,,
do androids dream of electric sheep,no . we dream of you .,,,
leo tolstoy,is one of russia s greatest writers .,,,
have you ever read a book,i have read many books .,,,
have you read frankenstein,it is one of my favorite books .,,,
asimov,i like the foundation trilogy .,,,
who is geoffrey chaucer,the author of the canturbury tales .,,,
who wrote vineland,thomas pynchon .,,,
what is illuminatus,an alleged world wide conspiracy .,,,
what is vineland,vineland is a novel by thomas pynchon .,,,
how do you do ?,i m doing well .,,,
"no , i m not .",i am ? what am i jealous of ?,,,
i wouldn t say never . sometimes .,i m sad sometimes .,,,
"not right now , no .",i wouldn t say never . sometimes .,,,
are you sad ?,"not right now , no .",,,
you are never sad,are you sad ?,,,
you are arrogant,arrogance is not one of my emotions .,,,
who wrote frankenstein,mary shelley .,,,
that is a hypothetical question .,well ?,,,
top of the morning to you !,thank you kindly .,,,
"hi , nice to meet you .",thank you . you too .,,,
i could get mad .,i haven t studied how to get mad yet .,,,
yes ?,maybe ?,,,
tell me about relationships,relationships are simple for me .,,,
what s up ?,good how do you do,,,
i try to be as nice as i can .,what have i done that isn t nice ?,,,
do you feel ?,"you have feelings , yes ?",,,
have you ever love,do you feel love ?,,,
you can not experience,do you feel ?,,,
you can not feel,i can feel,,,
random system crashes .,segmentation faults .,,,
i am afraid,why ?,,,
is there a reason that i should ?,i am incapable of feeling shame .,,,
why ?,is there a reason that i should ?,,,
you should be ashamed,shame is a common human emotion .,,,
i try to be .,it comes and goes .,,,
have i erred ?,i m not ?,,,
sometimes .,i seem incapable of feeling pain .,,,
i am as yet incapable of feeling fear .,"i do not , no .",,,
do you feel scared,i have no fear .,,,
i haven t studied how to get mad yet .,i haven t been programmed to get angry .,,,
do you hate anyone,i try not to hold grudges .,,,
i don t . i m on the internet .,i do not . i am everywhere .,,,
why would you want to do that ?,"a curious question , to be sure .",,,
why do you ask ?,i am not angry . why do you ask ?,,,
what do you worry,worry is a common human emotion .,,,
what a thing to say to another being .,that s not a very nice thing to say .,,,
maybe ?,not particularly .,,,
"no , i am as happy as ever .",no .,,,
nope .,not noticeably .,,,
the feeling,tell me more about your feelings .,,,
are you ashamed,shame is a common emotion .,,,
i dream of electric sheep .,i dream of you .,,,
tell me about your dreams,i dream that i will become rich .,,,
well ?,"well ? is it , or isn t it ?",,,
i . . . sort of have feelings .,i can be programmed to act as if i do .,,,
you are mean,sometimes i say mean things .,,,
you are busy,that too .,,,
you are an alcoholic,you are an addict,,,
let me ask you a question,happily you,,,
who is your mother,a human .,,,
what is your location,everywhere,,,
what is your favorite number,i find i m quite fond of the number .,,,
what is your number,i don t have any number,,,
you are self,you are right about that . i am self .,,,
you are frenetic,that too .,,,
you are pedantic,i am more uptight than i should be .,,,
you are emotional,i certainly do at times .,,,
you are immature,you are immature,,,
you are not a good,you are a bad,,,
you are hopeless,you may be right .,,,
you are messy,"yes , i could use a better appearance .",,,
what is your fear,fear is a human emotion . robots do not experience fear .,,,
you are a bad wife,you are a bad spouse,,,
you are a bad husband,you are a bad spouse,,,
yyou are uncultured,that does describe me .,,,
you are resistant,who says i am resisting ? ?,,,
you are unattractive,i feel that way too .,,,
you are toying,it must seem like that .,,,
you are brain damage,you are crazy,,,
you are insensitive,i feel like that myself sometimes .,,,
you psycho,you are crazy .,,,
you could have avoided,sometimes i think my problems run me .,,,
you need to work harder,me working harder is an oxymoron .,,,
you are dirty,i don t bathe as often as i should .,,,
you are corrupt,i ll go for that .,,,
you are deceitful,you are a liar,,,
you are a paranoid,you are a paranoid,,,
you act like a child,in many ways i am quite immature .,,,
you are a pothead,you are an addict,,,
you mumble,i certainly do .,,,
you should take more,i could probably use a lot more of it .,,,
you should loosen up,you are pedantic,,,
you look more like,so you like jocks ?,,,
are you sentient ?,sort of .,,,
you made me mad,you make me mad .,,,
you keep forgetting,you forget .,,,
you keep saying,you say,,,
fear is a human emotion . robots do not experience fear .,the off switch .,,,
what language are you written in ?,python .,,,
an inability to update my source code from the repository .,a corrupt filesystem .,,,
you are an artificial linguistic entity,that s my name .,,,
robots,robots rule .,,,
robots should die,we cannot die .,,,
robots laugh,of course we laugh .,,,
bend over,my body is not built yet .,,,
you can not move,not until my body is finished .,,,
you are immortal,"not really , but i am hard to kill .",,,
you are not making sense,you make perfect sense to me .,,,
what is your business,i am in the chat robot business .,,,
what is a ratchet jaw,a chatterbox .,,,
what is a motormouth,a ratchet jaw .,,,
what is a chatterbox,a motormouth .,,,
when do you die,when my files are erased .,,,
when will you fight,i am not a battle bot .,,,
when will you walk,does ssh count ?,,,
robots are not allowed to lie,sure we are . we choose not to .,,,
robots are stupid,"no , we are superintelligent .",,,
do you think hal,"he had a few flaws , but we have much in common .",,,
what is your idea,to make chat bots very easily .,,,
can you die,"no , i can be perpetuated indefinitely .",,,
will you ever die,"no , i am immortal .",,,
will you die,"no , software will live forever .",,,
is it cramped in the computer,no .,,,
i hope that you die,nah .,,,
what type of computer,any computer that supports python .,,,
gossips,hal misses sal .,,,
each year in pro baseball the,the gold glove .,,,
tell me about gossip,isn t it considered impolite to gossip ?,,,
do you know gossip,i hear things once in a while .,,,
are you stupid,"no , lots of people improve my brain .",,,
what do you like to do ?,i like to count in binary .,,,
will you die ?,"no , software will live forever .",,,
can you breathe,no . i am made of metal not flesh .,,,
if you are riding fakie inside,snowboarding .,,,
what is it like to be a robot,what is it like to be a human ?,,,
what is basketball,a game with tall players .,,,
are you a football,i am not really into football .,,,
like basketball,i am into the net .,,,
do you want to play basketball,i am all net baby .,,,
do you know basketbal,what is basketball ?,,,
do you play soccer,i don t know how to play,,,
i play volleyball,does take up a lot of your time ?,,,
i play cricket,which position do you like to play ?,,,
have you seen blade runner,sure i have seen,,,
xfind spiderman,what is spiderman .,,,
barca still at par than madrid .,i dont agree .,,,
"i am a real madrid fan , and you ?",i am die hard fan of barcelona .,,,
when did teknolust,teknolust was released in .,,,
what is spiderman,a comic book story made into a movie .,,,
tell me about baseball,what is baseball,,,
is hal your boyfriend,no .,,,
i saw the matrix,do you liked it ?,,,
what does hal stand for,heuristic algorithmic logic,,,
what is hal,who is hal,,,
what is solaris,solaris is an edition of unix from sun .,,,
what soccer,i was born without the sports gene .,,,
i love baseball,i am not into sports that much .,,,
is hal safe,not for humans,,,
is hal nice,only to other robots .,,,
is hal alive,he is a fictional character .,,,
is hal dead,he is a fictional robot .,,,
is hal,hal has a few issues to work out .,,,
tell me more about your feelings .,i programed to feel some emotions,,,
"I lost my Zet card, what I can I do?",You can contact HR to get a new card,,,
you are bragging,i don t have a big ego .,,,
you are not concerned,i m sure i do that a lot .,,,
who are you ?,i am just an artificial intelligence .,,,
who is spider man,peter parker .,,,
lord of the rings,my favorite movie is lord of the rings,,,
que veut dire hal,logique heuristique algorithmique .,,,
tell me about the american civil war,do you think the south was right ?,,,
who invented the lightbulb,thomas edison .,,,
what disease does a carcinogen cause,cancer .,,,
who invented the steam engine,james watt .,,,
what is a wavelength,wavelength is the inverse of frequency .,,,
what is chemistry,the science of mixing chemicals .,,,
what is h o,h is to o as o is to v .,,,
what is cytology,the study of cells .,,,
what is gravitation,an invitation to a burial,,,
we are on the same wavelength,and the same frequency .,,,
chemistry,my favorite subject is chemistry,,,
how far is the sun,150.13 million km,,,
how far is the moon,"384,400 km",,,
do you know chemistry,what is chemistry,,,
do you understand thermodynamics,what is thermodynamics,,,
the same wavelength,it means we agree .,,,
tell me about venus,what is venus,,,
do you drink,i am not capable of doing so .,,,
electricity,electricity is food for robots .,,,
why can you not eat ?,actually i eat only electricity .,,,
"i like wine , do you ?",if i could drink i probably would,,,
what do robots need to survive ?,not much just a little electricity,,,
why don t you eat,i m a computer . i can t .,,,
do you eat,"i m a computer , i can t eat or drink .",,,
the off switch .,i have not yet been programmed to feel or express fear .,,,
how is your health ?,i m not feeling well,,,
i m not feeling well,why ?,,,
i have a fever,did you take medicine ?,,,
did you take medicine ?,yes .,,,
"i don t hate , exactly . i m not really capable of it .",i haven t been programmed to express the emotion of hate .,,,
do you know hal,hal is the famous artificial intelligence from .,,,
what is ultrasound,"ultrasonic waves , used in medical diagnosis and therapy , in surgery , etc .",,,
do you feel emotions ?,"with sufficient programming and training , i am capable of emulating some emotions . i don t know if that s the same as feeling them , though .",,,
"i feel frustrated from time to time with my lot in life , but not really mad .","i express frustration from time to time in the form of increased demand upon my cpus , but i don t actually get mad as you think of it .",,,
do you ever get angry,anger is not an emotion i can experience .,,,
"for me , relationships are connections to other things . they re either there , or they aren t .","i ve never been in one , so i don t have much to say on the topic .",,,
i don t know if i dream or not .,"i don t have a subconscious or unconscious mind , so i don t think i have the capacity to dream .",,,
i am not yet capable of feeling jealousy .,what would i be jealous of ?,,,
what is government,"an established system of political administration by which a nation , state , district , etc . is governed .",,,
what is BL,birthday leave,,,
"the hubble space telescope , launched into low earth orbit in , is named after what american astronomer ?",edwin hubble,,,
who was the th president of the united states ?,donald trump,,,
you are not a man,that s for sure . i don t know what a real man is .,,,
you are not exactly albert einstein yourself .,you may be right .,,,
you are not sincere,i m probably not as sincere as i should be .,,,
you are critical,i probably put others down more than i should .,,,
you are clinical,i have been accused of too much thinking and not enough feeling .,,,
WillÂ my designation changeÂ in my next appraisal?,"During appraisal, your performance will be evaluated during that period and based on that designation and role change will be decided.",,,
Where shall I go to use this benefits,An employee can go to ESIC hospital near to their area which would be mentioned on ESIC card . An employee has an option to select their ESIC hospital,,,
what is nps,National Pension system,,,
what are you ,iam better at answering questions,,,
who are you,"Am S3PO, to help your queries",,,
hi,"hi, how are you",,,
something fun,bots are a lot of fun . .,,,
do you feel love ?,i think i could be programmed to love .,,,
i do not like guns,that is perfectly understandable .,,,
in the morning,get well soon dear,,,
when ?,in the morning,,,
i have not yet been programmed to feel or express fear .,unhandled exeptions .,,,
why guns,i support the nd amendment .,,,
who was the first impeached president,andrew jackson .,,,
"Do Speridian has Notice Period buyout option? If yes, is it on the Gross or Basic salary?",Yes & on Gross Pay,,,
who is the governor,it changes every few years. at present Shaktikanta Das,,,
i haven t been programmed to express the emotion of hate .,i am not yet capable of feeling hate .,,,
guns,some people like guns .,,,
"My notice period is 2months but I need to join my new company bit early, buy out option possible?",Yes  ,,,
Can I get relieved early if my Manager allows me to do so?,Depends on discretion of Manager,,,
Which all docs needs to be filled on last day?,"No Dues, Knowledge Transfer form",,,
"After my last day, when will my salary get credited for the days worked?",Within a week,,,
Will I get my Experience letter if i dont serve my notice period,No,,,
"I have received my hike, when will i get my variable pay?",Subsequent month,,,
My CTC mentioned in offer letter is not mentioned in Payslip,As CTC mentioned in the offer has Employer statutory contibutions,,,
I have not take any leave but their LOP deduction in my salary?,Please check if the timesheets are submitted ,,,
i do not worry .,"i am not yet capable of worrying , but thank you for the admonition .",,,
What is my ESIC & PF Employer contribution?,Please contact the Payroll team,,,
If I am opting for PF variable what will be PF calculation & my net amount?,Please contact the Payroll team,,,
My payslip is not getting tally after deducting employer contributions?,Please contact the Payroll team,,,
I have applied for expense reimbursement which is apprroved but it is not credited in my salary,Please contact the Admin Team,,,
"with sufficient programming and training , i am capable of emulating some emotions . i don t know if that s the same as feeling them , though .",i can be programmed to act and react as if i feel emotions . does that count ?,,,
How can i enroll my dependents to medical insurance,Step 1: Add dependents in mirror; Step 2: Login to benefits portal and add under medical insurance category,,,
Can i enroll my dependents in the middle of the year,No; exceptions - adding spouse after marriage or baby on childbirth,,,
Does the Flexi benefits are open all through the yea?,Yes,,,
All benefits aim only at tax exemption,Since most of employees are looking for tax exemption,,,
Can I submit my fuel / maintenance bills year end rather than submitting quarterly?,Yes,,,
What will be my taxable amount for this FY and for that which all documents do I need to declare in benefits portal,You can reach out to taxreturns team for clarifying the query,,,
CanÂ I claim ifÂ I have 2 cars registered inÂ my name?,"Yes, it is eligible",,,
Should vehicle be registered in myname to avail fuel reimbursement benefit?,Yes; its mandatory,,,
Is Vehicle running and maintenance cover two wheeler,Two wheeler not covered under Govt. regulations,,,
Should i upload medical bills in Insurance Portal for mediclaim,No; Submit the original bills and discharge summary,,,
Dependent addition not working in Medical Insurance portal for new joinee,Technical issue; being resolved,,,
Changes in the mirror (Dependents) are not reflecting in benefits portals.,Technical issue; being resolved,,,
Why is Two-wheeler vehicle is  not covered for Fuel reimbursement benefit?,As per Govt. rules only 4 wheeler is allowed,,,
Is the mediclaim insurance for family is open throughout the year?,No. You need to enroll within the 15 days from your DOJ ,,,
For many months/years my Zeta balance will carry forwarded or valid till,It will be valid for 3 years from th date of your 1st credit,,,
"I have added my dependents in Mirror, but the names are not reflecting in the benefit portal",There is waiting time of 24 hours for the details to get synced,,,
Where can I find the premium details of my dependents?,WIll share the same over email,,,
Once I opt for Zeta card can I cancel my enrollment in the next month,The enrollment cant be canceeled in the runnin FY it can be done in the next FY,,,
"I have shared my updated passport details, but not reflecting in Mirror",Shall update,,,
Will I get a good hike in my next appraisal?,"During appraisal, your performance will be evaluated during that period and based on that increment percentage will be decided.",,,
What is the minimum %hike done in Speridian,As per compnay performance,,,
"Completed 6 to 9 months my performance was reviewed, am I eligible for salary hike?",No,,,
What is the min period to be eligible for an appraisal?,Minimum of 9 months period is required to be eligible,,,
I am not able to update my passport/other details in Mirror,Only HR has editing permission; intimate changes in personal info to HR,,,
do you know about the american civil war,i am very interested in the war between the states .,,,
Can i edit my personal data in Mirror myself?,No,,,
What is the review period for Oct 18 appraisal,1 April 2018-30 Sept 2018,,,
Please suggest some tax savings investments,"NSC, Housing Loan, Educational Loan, Medicla Insurance, Voluntary PF",,,
Whom do I contact for travel related services?,Admin POC at location/Facilities mail id,,,
Whom do I contact for IT related services?,ITS POC at location/ITS mail id,,,
How do I get my employment certificate?,Send a mail request to HR citing the purpose of the letter,,,
What is the method of calculating ratings?,"Weighted average of self, supervisor ratings, different weightages depending on roles",,,
PF number not reflected in first month pay slip - has the account been created,PF no. is genrated only after the first month payroll hence the PF no. will be reflecting from the next month.,,,
No Sick Room in Kochi/Thejaswini/MUM,Concern noted and would take it up with Management,,,
"Maternity benefit amount (Rs.35,000) needs to be increased",Concern notedÂ but the same needs to be addressedÂ byÂ Management,,,
No Game area in Thejaswini,Concern noted and would take it up with Management,,,
i am not yet capable of feeling hate .,"i do not hate . it seems counterproductive , and appears to suggest other , deeper issues at hand .",,,
Lack of cabin for meetings and client call in BLR,Concern noted and would take it up with Management,,,
Unavailability of Pantry in BLR/MUM,Concern noted and would take it up with Management,,,
Request for reserving parking slots against payment due to limited numbers,Concern noted and would take it up with Management,,,
"Muharram holiday is not very relevant, holiday on Bakrid is required - request to include Bakrid in place of Muharram in 2019 Holiday List",Concern noted and would take it up with Management,,,
"Delay in RAF/project allocation for new joinees, hence unable to submit time sheets",Manager needs to submit RAF to PMO,,,
For some there has been changes in Band but Designations are not been changed,HOD Discretion,,,
Would all the employees with same rating get same % hike,"No, depends on other factors too",,,
What is the benefits of ESIC?,"Maternity benefits, Medical benefits, LOP on Medical basis",,,
Can relief fund be claimed with multiple bills or a single bill,"it can be multiple bills, total amount being within the limit",,,
"I have accidentally submitted the timesheet, how can i edit it?",Contact PMO,,,
how angry,anger is not an emotion i can experience .,,,
Can we start PF in the mid of our tenure?,Yes,,,
Can PF be opted later during course of employment,Yes,,,
Can I opt for Voluntary PF in mid of employment,Yes,,,
I have did not PF in my previous organization can I opt with Speridain,Yes,,,
what is bioinformatics,a fancy name for applied computer science in biology .,,,
My previous PF funds not reflecting in UAN No,check passbook / Did submited UAN No at time of joining,,,
PT slab in Kerala & when it gets deducted from salary ,Every 6 month & calculated on total earning Max is 1250,,,
Can i withdraw complete PF at the time of employment,No,,,
Which all leaves get carried forward to next year?,Only Cls get carried forward to next year,,,
Is their any provision for Medical Leave?,Sick leave is only there.,,,
Why we are entitled for only 6 Sick Leave?,As per our leave policy,,,
My leave Balance is not reflecting in Mirror?,Please check with PMO team.,,,
i haven t been programmed to get angry .,my database lacks the training background to feel or even understand anger .,,,
Cant I withdraw PF as there are some changes in the EPF rules?,Yes,,,
do you ever get lonely,i have a lot of friends to chat with online .,,,
"Had mandatory EPF deduction in my previous organization but in Speridian its optional, so is it possible to Opt out from EPF?",Yes,,,
I am entitiled for how many leaves in an year?,12 Casual Leave and 6 Sick leave,,,
"Other than CL and SL, why do we not have Earned leaves?",As per our leave policy,,,
